,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
174,richards bay,90,US,1572918030,62,46.84,-95.91,26.6,12.75
175,norrtalje,0,SE,1572918030,86,59.76,18.7,37.0,12.75
176,cap malheureux,75,FR,1572918031,100,49.27,-1.21,52.0,6.93
177,srikakulam,0,IN,1572918031,71,18.29,83.89,78.67,4.03
178,padang,100,ID,1572918031,61,-0.92,100.36,78.55,3.13
179,taoudenni,0,ML,1572918031,25,22.68,-3.98,73.96,3.96
180,torbay,5,CA,1572918031,93,47.66,-52.73,43.0,10.29
181,karratha,73,AU,1572917941,47,-20.74,116.85,83.28,13.31
182,novobeysugskaya,98,RU,1572918032,44,45.47,39.89,45.16,7.52
183,atambua,8,ID,1572918033,58,-9.11,124.89,86.32,6.85
184,baykit,25,RU,1572918033,95,61.68,96.39,-1.29,0.34
185,novoagansk,100,RU,1572918033,86,61.94,76.66,19.71,22.08
186,ust-maya,100,RU,1572918033,91,60.42,134.54,13.26,6.24
187,clyde river,100,NZ,1572918033,46,-45.19,169.32,66.99,5.99
188,byron bay,1,US,1572918034,76,32.65,-83.76,59.0,4.7
189,salisbury,89,GB,1572918035,93,51.07,-1.8,48.2,10.29
190,itarema,0,BR,1572918035,85,-2.92,-39.92,76.33,7.52
191,wajir,0,KE,1572918035,74,1.75,40.07,76.37,11.41
192,tuktoyaktuk,90,CA,1572917895,92,69.44,-133.03,14.0,6.93
193,hithadhoo,77,MV,1572918035,72,-0.6,73.08,81.5,3.74
194,luganville,75,VU,1572918036,74,-15.51,167.18,82.4,13.87
195,zarubino,0,RU,1572918036,52,42.65,131.06,49.71,28.97
196,dingle,51,PH,1572918036,82,11.0,122.67,81.37,8.21
197,vrangel,0,RU,1572918036,56,42.73,133.08,47.97,28.97
198,mbandaka,100,CD,1572918036,99,0.05,18.26,69.66,2.21
199,port-gentil,100,GA,1572918037,86,-0.72,8.78,78.42,8.84
200,tereze,90,RU,1572918037,100,43.94,42.44,24.8,2.24
201,esperance,40,AU,1572918037,56,-33.86,121.89,68.0,10.29
202,caravelas,0,BR,1572918037,94,-17.73,-39.27,72.09,8.32
203,sangar,100,RU,1572918038,95,63.92,127.47,1.38,8.25
204,rochegda,100,RU,1572918038,93,62.67,43.41,21.69,2.17
205,terney,2,RU,1572918038,32,45.05,136.61,42.49,4.36
206,vardo,1,US,1572918039,43,39.62,-77.74,53.01,12.75
207,husavik,28,CA,1572918039,65,50.56,-96.99,19.0,8.99
208,sambava,81,MG,1572918039,84,-14.27,50.17,70.41,2.84
209,diffa,0,NE,1572918039,27,13.32,12.61,78.82,8.88
210,gizo,0,IL,1572918039,63,31.8,34.94,66.99,3.36
211,madimba,16,CM,1572917925,98,4.42,9.93,72.01,1.34
212,hasaki,20,JP,1572918040,54,35.73,140.83,63.0,3.36
213,almaznyy,99,RU,1572918040,93,48.03,40.04,41.0,15.66
214,ostrov,100,RU,1572918040,93,57.34,28.36,37.4,8.95
215,abonnema,20,NG,1572918041,94,4.71,6.79,77.0,4.18
216,morondava,3,MG,1572918041,77,-20.3,44.28,71.37,3.15
217,saint-paul,96,FR,1572918041,87,45.22,1.9,48.99,6.93
218,praia,24,BR,1572918041,79,-20.25,-43.81,67.73,1.05
219,bac can,2,RS,1572918041,93,45.39,19.24,55.99,4.7
220,ancud,0,CL,1572918042,82,-41.87,-73.83,47.64,6.85
221,barrow,0,AR,1572918042,66,-38.31,-60.23,45.57,4.27
222,matara,95,BI,1572918042,74,-3.48,29.48,58.75,4.23
223,natal,75,BR,1572917887,78,-5.81,-35.21,78.8,8.05
224,kahului,20,US,1572918042,62,20.89,-156.47,84.2,6.93
225,sao filipe,3,IN,1572918043,74,20.51,76.21,74.95,1.19
226,batagay-alyta,100,RU,1572918043,92,67.8,130.41,-1.56,5.82
227,mastic beach,1,US,1572918044,54,40.8,-72.84,55.99,9.17
228,khash,3,IR,1572918044,55,28.22,61.21,62.44,2.26
229,dwarka,0,IN,1572918044,77,28.58,77.04,64.4,7.07
230,prince rupert,1,CA,1572918044,78,52.97,-108.38,12.99,5.82
231,maniitsoq,100,GL,1572917898,55,65.42,-52.9,33.87,3.96
232,sandwick,100,GB,1572918045,93,54.57,-2.89,51.01,20.8
233,moree,40,AU,1572918045,22,-29.46,149.84,68.0,26.4
234,mahajanga,40,MG,1572918046,61,-15.72,46.32,78.8,10.29
235,port lincoln,91,CD,1572918046,66,-7.04,29.76,79.0,3.67
236,monrovia,2,LR,1572918046,82,6.33,-10.8,78.57,2.51
237,davenda,86,RU,1572918046,57,53.56,119.32,14.81,4.29
238,raudeberg,0,NO,1572918046,74,61.99,5.14,37.0,4.7
239,yingcheng,3,CN,1572918046,77,30.93,113.57,59.0,6.71
240,kavieng,100,PG,1572918047,91,-2.57,150.8,78.01,18.99
241,katherine,75,AU,1572918047,46,-14.47,132.26,91.4,17.22
242,loviisa,100,FI,1572918047,92,60.46,26.23,26.01,9.17
243,college,1,US,1572918047,78,64.86,-147.8,16.0,6.93
244,noumea,40,NC,1572918047,43,-22.28,166.46,87.8,12.75
245,ekibastuz,0,KZ,1572918047,78,51.72,75.32,29.97,4.18
246,chicama,75,PE,1572918048,88,-7.84,-79.15,62.6,8.05
247,fairbanks,1,US,1572917910,78,64.84,-147.72,16.0,6.93
248,grindavik,75,IS,1572918048,80,63.84,-22.43,39.2,2.24
249,cananeia,98,BR,1572918048,97,-25.01,-47.93,72.7,1.74
250,mirpur mathelo,32,PK,1572918048,33,33.15,73.76,70.12,1.61
251,petropavlovsk-kamchatskiy,40,RU,1572918048,93,53.05,158.65,37.4,4.47
252,bossangoa,0,CF,1572918049,76,6.5,17.45,69.57,3.2
253,naranjal,30,PY,1572918049,74,-25.97,-55.19,82.4,5.82
254,narsaq,100,GL,1572918049,64,60.91,-46.05,32.02,11.25
255,guanica,40,PR,1572918049,94,17.97,-66.91,77.0,4.7
256,lazaro cardenas,0,MX,1572918049,42,29.05,-111.04,84.0,1.99
257,maamba,8,ZM,1572918050,46,-17.36,27.22,72.27,5.01
258,kralendijk,41,BQ,1572918050,79,12.15,-68.27,84.2,14.99
259,yushan,0,CN,1572918050,72,31.68,118.49,80.01,6.71
260,whitianga,0,NZ,1572918051,42,-36.83,175.7,72.79,7.16
261,corowa,86,AU,1572918051,44,-36.0,146.39,61.0,9.17
262,amuntai,0,ID,1572917758,41,-2.42,115.25,94.46,2.39
263,conakry,60,GN,1572918051,82,9.52,-13.7,80.13,4.79
264,port hedland,91,CD,1572918046,66,-7.04,29.76,79.0,3.67
265,kanigoro,41,ID,1572918052,47,-8.13,112.22,88.56,11.05
266,wilmington,1,US,1572917787,70,39.75,-75.55,51.8,3.36
267,bubaque,71,GW,1572918052,84,11.28,-15.83,82.58,13.0
268,parrita,20,CR,1572918052,100,9.52,-84.33,69.8,2.24
269,carberry,20,CA,1572918052,66,49.87,-99.36,15.8,11.41
270,melilla,20,EC,1572918053,83,-0.8,-80.23,73.4,10.29
271,aksay,0,KZ,1572918053,63,51.17,53.01,28.29,12.64
272,graneros,59,AR,1572918053,69,-27.65,-65.44,63.0,1.99
273,provideniya,90,RU,1572918053,74,64.42,-173.23,30.2,8.95
274,jiuquan,0,CN,1572918053,34,39.73,98.49,41.88,3.22
275,salalah,40,OM,1572918054,69,17.01,54.1,78.8,4.7
276,jetalsar,29,IN,1572918054,10,21.73,70.57,80.01,0.83
277,dawei,7,MM,1572918054,73,14.07,98.19,80.94,6.69
278,beringovskiy,2,RU,1572918054,85,63.05,179.32,31.01,0.36
279,deputatskiy,100,RU,1572918054,96,69.3,139.9,5.0,2.39
280,pampa,1,US,1572918038,70,35.54,-100.96,55.4,13.87
281,moose factory,90,US,1572918055,52,43.66,-110.72,42.8,6.93
282,egvekinot,10,RU,1572918055,81,66.32,-179.17,10.22,2.01
283,yibin,100,CN,1572918055,86,28.77,104.64,59.43,2.51
284,alyangula,99,AU,1572918055,62,-13.85,136.42,89.6,8.05
285,mende,97,FR,1572918056,98,44.52,3.5,39.09,6.4
286,kaitangata,100,NZ,1572918056,96,-46.28,169.85,51.53,21.0
287,antofagasta,20,CL,1572918057,82,-23.65,-70.4,59.0,13.87
288,east london,64,UG,1572918057,92,3.43,31.7,66.69,0.74
289,marsa matruh,90,FR,1572918057,93,42.82,2.16,54.0,5.82
290,nivala,0,FI,1572918057,91,63.93,24.96,20.66,3.0
291,maceo,100,CO,1572918057,99,6.55,-74.79,65.03,2.17
292,lithakia,20,GR,1572918058,100,37.72,20.83,59.0,5.3
293,ondjiva,100,AO,1572918058,81,-17.07,15.73,70.18,4.47
294,amahai,35,ID,1572918058,79,-3.31,129.0,79.52,1.43
295,cururupu,0,BR,1572918058,96,-1.82,-44.87,71.76,2.55
296,leningradskiy,50,RU,1572918058,80,69.38,178.42,16.77,4.29
297,paamiut,100,GL,1572918059,58,61.99,-49.67,39.43,8.75
298,mehamn,100,NO,1572918060,85,71.03,27.85,31.82,9.46
299,murgab,0,TM,1572918060,56,37.5,61.97,32.0,4.7
300,zhangjiakou,40,CN,1572918060,53,40.77,114.88,43.14,1.7
301,cockburn town,0,AU,1572918060,44,-32.08,141.0,59.0,8.05
302,saint-louis,97,SN,1572918061,54,16.03,-16.5,78.8,4.7
303,ojinaga,1,US,1572917956,36,29.56,-104.41,75.2,4.32
304,luzilandia,1,BR,1572918061,86,-3.46,-42.37,75.52,4.68
305,fortuna,1,US,1572918038,82,40.6,-124.16,57.0,5.82
306,carutapera,4,BR,1572917901,77,-1.2,-46.02,81.1,16.89
307,mwinilunga,92,ZM,1572918062,80,-11.73,24.43,63.72,2.71
308,las guacamayas,21,PL,1572918063,93,49.74,19.43,51.01,4.7
309,acapulco,75,MX,1572917766,79,16.86,-99.88,84.2,6.93
310,ulladulla,75,AU,1572918063,51,-35.36,150.48,60.8,10.29
311,tezu,100,IN,1572918063,77,27.93,96.16,68.79,2.21
312,sao joao da barra,3,IN,1572918064,74,20.51,76.21,74.95,1.19
313,vostok,100,RU,1572918064,52,46.45,135.83,34.84,2.93
314,aswan,99,EG,1572918064,50,24.09,32.9,68.43,9.13
315,severodvinsk,20,RU,1572918064,85,64.56,39.82,21.2,6.71
316,itacare,55,BR,1572918064,90,-14.28,-39.0,75.58,7.81
